symbol,full_symbol,company_name_zh,name,weight_pct,index_weight_pct,industry_zh,report_company_name
600585,600585.SH,海螺水泥,Anhui Conch Cement Co Ltd,0.61,0.566,水泥,海螺水泥
600057,600057.SH,厦门象屿,"Xiamen Xiangyu Co., Ltd.",0.59,0.627,物流,厦门象屿
600729,600729.SH,重百集团,"Chongqing Chongbai Technology Group Co.,Ltd.",0.58,0.529,一般零售,重百集团
002572,002572.SZ,索菲亚,Suofeiya Home Collection Co Ltd,0.57,0.542,家居用品,索菲亚
600971,600971.SH,恒源煤电,Anhui Hengyuan Coal Industry and Electricity Power Co Ltd,0.57,0.666,煤炭开采,恒源煤电
600502,600502.SH,安徽建工,Anhui Construction Engineering Group Corporation Limited,0.49,0.443,基础建设,安徽建工
002154,002154.SZ,报喜鸟,Zhejiang Baoxiniao Garment Co Ltd,0.48,0.483,服装家纺,报喜鸟
603706,603706.SH,东方环宇,"XINJIANG EAST UNIVERSE (GROUP) GAS CO., LTD.",0.47,0.422,燃气Ⅱ,东方环宇
600123,600123.SH,兰花科创,Shanxi Lanhua Science-Tech Venture Co Ltd,0.46,0.557,煤炭开采,兰花科创
002267,002267.SZ,陕天然气,Shaan Xi Provincial Natural Gas Co Ltd,0.45,0.442,燃气Ⅱ,陕天然气
603967,603967.SH,中创物流,"CHINA MASTER LOGISTICS CO., LTD.",0.45,0.45,物流,中创物流
920599,920599.BJ,同力股份,TONLY,0.44,0.424,工程机械,同力股份
000090,000090.SZ,天健集团,"SHENZHEN TAGEN GROUP CO., LTD.",0.42,0.426,房地产开发,天健集团
600997,600997.SH,开滦股份,"Kailuan Energy Chemical Co.,Ltd.",0.42,0.462,焦炭Ⅱ,开滦股份
002737,002737.SZ,葵花药业,"SUNFLOWER PHARMACEUTICAL GROUP Co., Ltd.",0.41,0.387,中药Ⅱ,葵花药业
002540,002540.SZ,亚太科技,Jiangsu Asia-Pacific Light Alloy Technology Co Ltd,0.34,0.338,工业金属,亚太科技
